"make";"model";"car";"year";"Body";"Odometer";"Transmission";"price";"URL";"state";"adType"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Auto";2009;"Sedan";95536;"Automatic";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14253172/?Cr=21";"VIC";"Used Car"
"MAZDA";"2";"2011 Mazda 2 Neo DE Series 1 Manual";2011;"Hatch";37586;"Manual";11990;"http://www.carsales.com.au/dealer/details/Mazda-2-2011/OAG-AD-14473563/?Cr=22";"WA";"Used Car"
"MAZDA";"2";"2009 Mazda 2 Neo DE Series 1 Manual";2009;"Hatch";64679;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-2-2009/OAG-AD-14474750/?Cr=23";"NSW";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Sedan";28000;"Automatic";14999;"http://www.carsales.com.au/private/details/Mazda-3-2013/SSE-AD-4649761/?Cr=24";"VIC";"Private Seller Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";98072;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14451083/?Cr=25";"NSW";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Hatch";78451;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14455607/?Cr=26";"WA";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Manual";2013;"Hatch";94715;"Manual";13950;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14506695/?Cr=28";"SA";"Used Car"
"MAZDA";"3";"2013 Mazda 3 SP25 BL Series 2 Manual";2013;"Sedan";20239;"Manual";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-13654399/?Cr=29";"NT";"Used Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Manual";2009;"Hatch";92360;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14399498/?Cr=30";"NSW";"Used Car"
"MAZDA";"3";"2008 Mazda 3 Maxx Sport BK Series 2 Manual";2008;"Sedan";124035;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14469383/?Cr=32";"SA";"Used Car"
"MAZDA";"3";"2008 Mazda 3 Neo Sport BK Series 2 Manual";2008;"Sedan";89550;"Manual";8990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14080165/?Cr=33";"QLD";"Used Car"
"MAZDA";"3";"2012 Mazda 3 SP25 BL Series 2 Auto";2012;"Sedan";121117;"Automatic";14990;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14353124/?Cr=34";"VIC";"Used Car"
"MAZDA";"3";"2012 Mazda 3 MZR-CD BL Series 2 Manual";2012;"Hatch";117968;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14109401/?Cr=35";"NT";"Used Car"
"MAZDA";"6";"2008 Mazda 6 Classic GH Series 1 Auto";2008;"Sedan";106238;"Automatic";10855;"http://www.carsales.com.au/dealer/details/Mazda-6-2008/OAG-AD-14510862/?Cr=36";"SA";"Used Car"
"MAZDA";"3";"2008 Mazda 3 Maxx BK Series 2 Auto";2008;"Sedan";160000;"Automatic";8990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14411054/?Cr=37";"VIC";"Used Car"
"MAZDA";"3";"2006 Mazda 3 Neo BK Series 1 Auto";2006;"Hatch";79629;"Automatic";8588;"http://www.carsales.com.au/dealer/details/Mazda-3-2006/OAG-AD-14474999/?Cr=38";"WA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Manual";2011;"Sedan";84305;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14445526/?Cr=39";"SA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx BL Series 1 Auto";2011;"Sedan";104286;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14038054/?Cr=41";"VIC";"Used Car"
"MAZDA";"2";"2010 Mazda 2 Neo DE Series 1 Manual";2010;"Hatch";39634;"Manual";11390;"http://www.carsales.com.au/dealer/details/Mazda-2-2010/OAG-AD-14129309/?Cr=42";"SA";"Used Car"
"MAZDA";"2";"2013 Mazda 2 Neo DE Series 2 Manual";2013;"Hatch";46598;"Manual";10444;"http://www.carsales.com.au/dealer/details/Mazda-2-2013/OAG-AD-14437701/?Cr=43";"VIC";"Used Car"
"MAZDA";"2";"2011 Mazda 2 Neo DE Series 1 Manual";2011;"Hatch";62921;"Manual";9888;"http://www.carsales.com.au/dealer/details/Mazda-2-2011/OAG-AD-14335787/?Cr=44";"NSW";"Used Car"
"MAZDA";"TRIBUTE";"2007 Mazda Tribute Auto 4x4";2007;"SUV";132843;"Automatic";9500;"http://www.carsales.com.au/private/details/Mazda-Tribute-2007/SSE-AD-4657195/?Cr=45";"NSW";"Private Seller Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Auto";2009;"Sedan";122148;"Automatic";11888;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14228901/?Cr=47";"NSW";"Used Car"
"MAZDA";"3";"2005 Mazda 3 Maxx BK Series 1 Manual";2005;"Hatch";145541;"Manual";9980;"http://www.carsales.com.au/dealer/details/Mazda-3-2005/OAG-AD-14476931/?Cr=48";"NSW";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Manual";2011;"Sedan";49308;"Manual";14950;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14457464/?Cr=49";"QLD";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 1 Manual";2011;"Hatch";78193;"Manual";12980;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14256081/?Cr=50";"NT";"Used Car"
